vul,lmbda
0.4,0.275
0.401,0.275
0.402,0.275
0.403,0.275
0.404,0.275
0.405,0.275
0.406,0.275
0.407,0.275
0.408,0.275
0.409,0.275
0.41,0.275
0.411,0.275
0.412,0.275
0.413,0.275
0.414,0.275
0.415,0.275
0.416,0.275
0.417,0.275
0.418,0.275
0.419,0.275
0.42,0.275
0.421,0.275
0.422,0.275
0.423,0.275
0.424,0.275
0.425,0.275
0.426,0.275
0.427,0.275
0.428,0.275
0.429,0.275
0.43,0.275
0.431,0.275
0.432,0.225
0.433,0.225
0.434,0.225
0.435,0.225
0.436,0.225
0.437,0.225
0.438,0.225
0.439,0.225
0.44,0.225
0.441,0.225
0.442,0.225
0.443,0.225
0.444,0.225
0.445,0.225
0.446,0.225
0.447,0.225
0.448,0.225
0.449,0.225
0.45,0.225
0.451,0.225
0.452,0.225
0.453,0.225
0.454,0.225
0.455,0.225
0.456,0.225
0.457,0.225
0.458,0.225
0.459,0.225
0.46,0.225
0.461,0.225
0.462,0.225
0.463,0.225
0.464,0.225
0.465,0.225
0.466,0.225
0.467,0.225
0.468,0.225
0.469,0.225
0.47,0.225
0.471,0.225
0.472,0.225
0.473,0.225
0.474,0.225
0.475,0.225
0.476,0.225
0.477,0.225
0.478,0.225
0.479,0.225
0.48,0.225
0.481,0.225
0.482,0.225
0.483,0.225
0.484,0.225
0.485,0.225
0.486,0.225
0.487,0.225
0.488,0.225
0.489,0.225
0.49,0.225
0.491,0.225
0.492,0.225
0.493,0.225
0.494,0.225
0.495,0.225
0.496,0.175
0.497,0.175
0.498,0.175
0.499,0.175
0.5,0.175
0.501,0.175
0.502,0.175
0.503,0.175
0.504,0.175
0.505,0.175
0.506,0.175
0.507,0.175
0.508,0.175
0.509,0.175
0.51,0.175
0.511,0.175
0.512,0.175
0.513,0.175
0.514,0.175
0.515,0.175
0.516,0.175
0.517,0.175
0.518,0.175
0.519,0.175
0.52,0.175
0.521,0.175
0.522,0.175
0.523,0.175
0.524,0.175
0.525,0.175
0.526,0.175
0.527,0.175
0.528,0.175
0.529,0.175
0.53,0.175
0.531,0.175
0.532,0.175
0.533,0.175
0.534,0.175
0.535,0.175
0.536,0.175
0.537,0.175
0.538,0.175
0.539,0.175
0.54,0.175
0.541,0.175
0.542,0.175
0.543,0.175
0.544,0.175
0.545,0.175
0.546,0.175
0.547,0.175
0.548,0.175
0.549,0.175
0.55,0.175
0.551,0.175
0.552,0.175
0.553,0.175
0.554,0.175
0.555,0.175
0.556,0.175
0.557,0.175
